,1000_1,1000_2,500_1,500_2,100_1,100_2
train_0.png,3,2,0,2,2,3
train_1.png,2,2,1,1,2,3
train_2.png,3,3,1,2,2,0
train_3.png,2,3,0,0,3,1
train_4.png,0,1,1,2,0,1
train_5.png,3,0,0,1,2,2
train_6.png,2,3,0,2,0,1
train_7.png,1,2,3,0,2,3
train_8.png,2,1,2,2,3,0
train_9.png,1,0,3,0,3,1
train_10.png,2,2,2,3,0,0
train_11.png,0,0,0,3,0,3
train_12.png,2,0,1,0,2,3
train_13.png,0,0,3,1,3,3
train_14.png,2,2,3,1,2,1
train_15.png,1,3,0,2,1,0
train_16.png,3,0,3,2,2,1
train_17.png,1,1,1,3,3,0
train_18.png,3,1,2,0,3,3
train_19.png,1,0,3,2,2,0
train_20.png,0,2,2,0,1,1
train_21.png,2,3,3,2,0,2
train_22.png,1,1,1,1,3,2
train_23.png,1,2,1,3,3,2
train_24.png,0,2,0,0,0,2
train_25.png,3,0,1,1,0,3
train_26.png,0,1,1,3,0,3
train_27.png,3,0,3,1,0,2
train_28.png,0,3,0,2,3,0
train_29.png,2,0,2,2,0,1
train_30.png,1,1,1,1,0,1
train_31.png,0,1,1,2,2,0
train_32.png,3,1,2,2,0,1
train_33.png,0,0,1,0,0,2
train_34.png,3,3,3,0,0,1
train_35.png,0,0,1,3,0,0
train_36.png,1,3,1,0,1,0
train_37.png,2,2,0,0,2,2
train_38.png,0,0,2,1,2,2
train_39.png,1,1,3,1,1,3
train_40.png,0,3,3,0,0,1
train_41.png,0,2,2,1,1,1
train_42.png,1,3,1,1,1,2
train_43.png,0,0,3,1,3,1
train_44.png,1,3,1,3,0,1
train_45.png,3,2,0,2,0,3
train_46.png,1,0,0,2,3,2
train_47.png,1,1,1,1,3,1
train_48.png,3,0,3,0,3,2
train_49.png,3,1,2,2,2,2
train_50.png,2,3,2,2,0,0
train_51.png,0,2,0,3,2,2
train_52.png,3,3,0,0,2,2
train_53.png,0,2,0,0,0,3
train_54.png,2,1,0,2,0,2
train_55.png,0,3,3,0,0,0
train_56.png,2,3,3,0,2,2
train_57.png,1,2,2,3,2,1
train_58.png,3,0,3,0,2,1
train_59.png,1,3,3,1,1,0
train_60.png,3,3,2,2,2,1
train_61.png,2,2,1,3,2,2
train_62.png,0,2,2,0,2,2
train_63.png,0,0,0,3,1,1
train_64.png,0,1,2,3,2,0
train_65.png,0,1,3,2,2,1
train_66.png,0,1,0,0,0,1
train_67.png,3,1,3,2,0,3
train_68.png,2,3,2,0,1,1
train_69.png,0,3,1,0,1,0
train_70.png,2,1,3,3,1,3
train_71.png,2,2,2,1,3,0
train_72.png,0,2,0,3,1,2
train_73.png,1,0,3,2,3,1
train_74.png,0,1,3,2,3,0
train_75.png,1,2,3,3,2,3
train_76.png,0,0,2,1,0,3
train_77.png,0,2,2,3,1,3
train_78.png,1,2,2,1,2,1
train_79.png,0,3,1,2,1,2
train_80.png,0,0,3,1,0,0
train_81.png,1,1,0,0,1,2
train_82.png,1,0,3,1,1,1
train_83.png,2,1,1,1,0,1
train_84.png,2,0,0,1,0,3
train_85.png,2,0,3,3,1,1
train_86.png,2,3,1,3,0,0
train_87.png,1,0,1,1,1,1
train_88.png,0,1,0,3,2,3
train_89.png,3,0,1,1,0,0
train_90.png,2,0,2,0,2,2
train_91.png,0,3,2,0,0,3
train_92.png,1,0,1,1,1,3
train_93.png,1,0,2,2,0,3
train_94.png,2,2,1,1,2,3
train_95.png,0,2,2,1,0,3
train_96.png,0,0,1,0,1,1
train_97.png,2,0,0,3,0,1
train_98.png,1,1,0,2,3,2
train_99.png,3,1,1,2,2,2
train_100.png,0,2,1,0,2,2
train_101.png,2,1,0,2,2,3
train_102.png,0,3,1,3,1,1
train_103.png,0,3,2,3,0,1
train_104.png,0,2,0,3,3,1
train_105.png,3,0,3,1,1,3
train_106.png,1,0,1,2,0,3
train_107.png,1,3,1,2,2,3
train_108.png,1,1,2,2,0,1
train_109.png,1,0,0,2,1,1
train_110.png,3,3,3,3,0,0
train_111.png,1,1,0,1,1,2
train_112.png,2,0,1,0,3,3
train_113.png,0,0,2,3,3,1
train_114.png,2,0,0,3,2,2
train_115.png,2,1,1,0,0,2
train_116.png,2,1,2,1,3,2
train_117.png,0,2,0,2,3,1
train_118.png,1,0,3,2,0,2
